,Value,Std. Quantity (POUND),Std. Unit Rate ($/POUND),WTI Oil Value,Brent Oil Value,ship_count,popular_port_count,spikes,predicted_spikes
89,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,0.0955713117921229,0.2805244451179814,0.702548488577176,0.0,0.0
90,1.2916220192433143,-0.17847708604274315,-0.3673824202051279,-1.6261625254172898,-1.496583728612914,-0.9174334669914829,-0.9495665714274757,0.0,0.0
91,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,0.7412469386025033,0.8916488319946413,0.2805244451179814,0.702548488577176,0.0,1.0
92,2.948220142062997,3.2903852529418547,-0.3673824202051279,0.7412469386025033,0.8916488319946413,1.4784823572274457,1.2532535085787266,0.0,0.0
93,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.837026037410692,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,0.0,0.0
94,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.837026037410692,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,0.0,0.0
95,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-1.6261625254172898,-1.496583728612914,-0.9174334669914829,-0.9495665714274757,0.0,0.0
96,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,1.530383426609101,1.6877263521971597,0.8795034011727135,0.702548488577176,0.0,0.0
97,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,0.7412469386025033,0.8916488319946413,1.4784823572274457,0.702548488577176,0.0,0.0
98,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,0.0955713117921229,0.8795034011727135,1.2532535085787266,0.0,0.0
99,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,0.7412469386025033,0.0955713117921229,1.4784823572274457,0.702548488577176,0.0,0.0
100,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,1.0,0.0
101,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,0.7412469386025033,0.8916488319946413,1.4784823572274457,0.702548488577176,0.0,0.0
102,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-1.6261625254172898,-1.496583728612914,-0.9174334669914829,-0.9495665714274757,0.0,0.0
103,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,1.530383426609101,1.6877263521971597,0.8795034011727135,0.702548488577176,0.0,0.0
104,-0.36497610357636806,-0.17847708604274315,-0.3673824202051279,-0.04788954940409438,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,0.0,0.0
105,-0.36497610357636806,-0.17847708604274315,1.3730917955166655,-0.837026037410692,-0.7005062084103955,-0.9174334669914829,-0.9495665714274757,1.0,0.0
